doubling every day;doubling every two days;doubling every 4 days;doubling every 10 days;Italy;US;Spain;Germany;Korea,South;day
100.0;100.0;100.0;100.0;155.0;184.0;165.0;188.0;;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;229.0;237.0;222.0;240.0;;1
400.0;200.0;141.4213562373095;114.86983549970351;322.0;403.0;259.0;349.0;;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;453.0;519.0;400.0;534.0;;3
1600.0;400.0;200.0;131.9507910772894;655.0;594.0;500.0;684.0;;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;888.0;782.0;673.0;847.0;;5
6400.0;800.0;282.842712474619;151.5716566510398;1128.0;1147.0;1073.0;1112.0;;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;1694.0;1586.0;1695.0;1296.0;;7
25600.0;1600.0;400.0;174.11011265922482;2036.0;2219.0;2277.0;1567.0;;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;2502.0;2978.0;2277.0;2369.0;;9
102400.0;3200.0;565.685424949238;200.0;3089.0;3212.0;5232.0;3062.0;;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;3858.0;4679.0;6391.0;3795.0;;11
409600.0;6400.0;800.0;229.73967099940697;4636.0;6512.0;7798.0;4838.0;;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;5883.0;9169.0;9942.0;6012.0;;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;7375.0;13663.0;11748.0;7156.0;;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;9172.0;20030.0;13910.0;8198.0;;15
6553600.0;25600.0;1600.0;303.14331330207966;10149.0;26025.0;17963.0;10999.0;;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;12462.0;34944.0;20410.0;13957.0;;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;15113.0;46096.0;25374.0;16662.0;;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;17660.0;56714.0;28768.0;18610.0;;19
104857600.0;102400.0;3200.0;400.0;21157.0;68841.0;35136.0;22672.0;;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;24747.0;86662.0;39885.0;27436.0;;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;27980.0;105253.0;49515.0;31554.0;;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;31506.0;127417.0;57786.0;36508.0;;23
1677721600.0;409600.0;6400.0;527.8031643091576;35713.0;143544.0;65719.0;42288.0;;24
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;41035.0;165698.0;73235.0;48582.0;;25
6710886400.0;819200.0;9050.966799187809;606.2866266041593;47021.0;192079.0;80110.0;52547.0;;26
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;53578.0;223254.0;87956.0;57298.0;;27
26843545600.0;1638400.0;12800.0;696.4404506368992;59138.0;255530.0;95923.0;61913.0;;28
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;63927.0;287931.0;104118.0;67366.0;;29
107374182400.0;3276800.0;18101.933598375617;800.0;69176.0;319776.0;112065.0;73522.0;;30
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;74386.0;349016.0;119199.0;79696.0;;31
429496729600.0;6553600.0;25600.0;918.9586839976281;80589.0;380798.0;126168.0;85778.0;;32
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;86498.0;410834.0;131646.0;91714.0;;33
1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;92472.0;441897.0;136675.0;95391.0;;34
3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;97689.0;477507.0;141942.0;99225.0;;35
6871947673600.0;26214400.0;51200.0;1212.5732532083186;101739.0;511790.0;148220.0;103228.0;;36
13743895347200.0;37072760.009473264;60887.40428813932;1299.6038341699768;105792.0;540714.0;153222.0;108202.0;;37
27487790694400.0;52428800.0;72407.73439350247;1392.8809012737984;110574.0;567022.0;158273.0;113525.0;;38
54975581388800.0;74145520.01894653;86107.79292198036;1492.8527864588918;115242.0;594165.0;163027.0;117658.0;;39
109951162777600.0;104857600.0;102400.0;1600.0;119827.0;622493.0;166831.0;120479.0;;40
219902325555200.0;148291040.03789306;121774.80857627864;1714.8375400580687;124632.0;648390.0;170099.0;123016.0;;41
